iter	Passed	Remaining
0	66	66257
1	73	36885
2	81	26937
3	88	22061
4	97	19318
5	105	17457
6	113	16085
7	121	15094
8	130	14360
9	138	13737
10	147	13220
11	155	12806
12	163	12433
13	172	12124
14	180	11836
15	189	11628
16	197	11418
17	206	11248
18	214	11078
19	222	10925
20	231	10807
21	240	10687
22	249	10580
23	257	10467
24	265	10356
25	274	10283
26	282	10194
27	291	10109
28	299	10037
29	307	9954
30	316	9882
31	324	9815
32	332	9756
33	341	9696
34	349	9633
35	358	9589
36	366	9534
37	375	9494
38	383	9441
39	391	9386
40	399	9344
41	408	9313
42	416	9277
43	425	9238
44	433	9189
45	441	9160
46	450	9125
47	458	9096
48	467	9069
49	476	9046
50	484	9019
51	492	8983
52	502	8970
53	510	8949
54	518	8916
55	527	8888
56	535	8859
57	544	8838
58	552	8808
59	560	8781
60	568	8756
61	577	8729
62	585	8702
63	592	8665
64	600	8632
65	608	8605
66	615	8577
67	623	8549
68	631	8524
69	639	8495
70	647	8467
71	655	8451
72	663	8427
73	672	8413
74	681	8399
75	690	8391
76	698	8371
77	707	8357
78	715	8339
79	723	8325
80	732	8311
81	740	8291
82	748	8273
83	757	8256
84	765	8237
85	773	8220
86	782	8209
87	790	8193
88	799	8179
89	807	8163
90	815	8147
91	824	8133
92	832	8114
93	840	8099
94	848	8084
95	856	8064
96	864	8050
97	872	8033
98	880	8016
99	888	8000
100	897	7984
101	905	7973
102	913	7954
103	921	7940
104	930	7929
105	938	7916
106	947	7903
107	955	7893
108	964	7880
109	971	7862
110	980	7849
111	988	7840
112	996	7819
113	1004	7809
114	1012	7794
115	1020	7780
116	1029	7767
117	1037	7757
118	1045	7741
119	1054	7730
120	1062	7718
121	1071	7707
122	1078	7691
123	1086	7678
124	1095	7665
125	1104	7658
126	1112	7647
127	1120	7636
128	1128	7621
129	1136	7607
130	1144	7594
131	1153	7585
132	1161	7570
133	1170	7563
134	1178	7551
135	1187	7541
136	1196	7534
137	1204	7526
138	1213	7513
139	1221	7503
140	1229	7490
141	1238	7481
142	1246	7469
143	1254	7455
144	1261	7439
145	1270	7429
146	1278	7417
147	1286	7406
148	1294	7395
149	1303	7387
150	1312	7378
151	1320	7367
152	1328	7356
153	1337	7346
154	1345	7336
155	1353	7323
156	1361	7308
157	1369	7297
158	1377	7286
159	1386	7276
160	1394	7264
161	1401	7251
162	1410	7241
163	1418	7229
164	1426	7217
165	1434	7205
166	1442	7194
167	1449	7180
168	1458	7169
169	1466	7158
170	1474	7149
171	1483	7139
172	1491	7131
173	1500	7122
174	1508	7112
175	1517	7104
176	1526	7097
177	1535	7089
178	1543	7079
179	1551	7068
180	1559	7055
181	1567	7046
182	1575	7035
183	1583	7023
184	1592	7013
185	1600	7004
186	1608	6991
187	1616	6980
188	1624	6970
189	1632	6957
190	1640	6946
191	1649	6939
192	1657	6930
193	1666	6922
194	1674	6912
195	1683	6904
196	1691	6894
197	1700	6887
198	1708	6878
199	1717	6869
200	1725	6860
201	1734	6850
202	1742	6841
203	1750	6831
204	1759	6822
205	1767	6811
206	1775	6801
207	1783	6790
208	1790	6778
209	1799	6767
210	1809	6768
211	1821	6769
212	1839	6796
213	1881	6910
214	1890	6901
215	1897	6888
216	1905	6874
217	1913	6865
218	1922	6854
219	1930	6843
220	1938	6833
221	1947	6824
222	1955	6812
223	1963	6800
224	1971	6789
225	1979	6780
226	1988	6771
227	1996	6760
228	2004	6749
229	2013	6739
230	2021	6729
231	2029	6718
232	2038	6710
233	2046	6699
234	2054	6688
235	2063	6679
236	2071	6669
237	2079	6659
238	2088	6649
239	2096	6639
240	2104	6629
241	2112	6618
242	2121	6608
243	2128	6596
244	2137	6586
245	2145	6577
246	2154	6568
247	2162	6558
248	2171	6549
249	2180	6540
250	2188	6532
251	2197	6523
252	2206	6513
253	2214	6503
254	2222	6493
255	2230	6481
256	2239	6474
257	2247	6463
258	2255	6453
259	2263	6443
260	2271	6432
261	2279	6421
262	2288	6412
263	2296	6402
264	2305	6393
265	2313	6383
266	2321	6372
267	2329	6363
268	2337	6351
269	2345	6341
270	2353	6332
271	2362	6322
272	2370	6311
273	2378	6301
274	2386	6290
275	2394	6280
276	2403	6272
277	2411	6262
278	2419	6252
279	2427	6241
280	2436	6233
281	2444	6223
282	2452	6212
283	2460	6203
284	2468	6192
285	2476	6183
286	2485	6173
287	2493	6163
288	2500	6152
289	2509	6143
290	2518	6135
291	2526	6125
292	2534	6116
293	2543	6108
294	2551	6098
295	2560	6090
296	2568	6080
297	2577	6071
298	2584	6060
299	2592	6050
300	2600	6039
301	2608	6029
302	2616	6019
303	2625	6011
304	2633	6001
305	2642	5992
306	2650	5982
307	2658	5973
308	2666	5964
309	2674	5953
310	2682	5943
311	2690	5933
312	2699	5924
313	2708	5916
314	2716	5908
315	2725	5898
316	2733	5888
317	2740	5878
318	2749	5869
319	2757	5859
320	2765	5850
321	2773	5840
322	2781	5830
323	2790	5821
324	2798	5811
325	2806	5801
326	2816	5796
327	2824	5786
328	2831	5774
329	2839	5765
330	2847	5754
331	2854	5744
332	2863	5735
333	2871	5726
334	2880	5718
335	2888	5709
336	2897	5700
337	2905	5691
338	2913	5680
339	2921	5670
340	2929	5661
341	2937	5651
342	2945	5641
343	2953	5632
344	2961	5622
345	2970	5614
346	2978	5604
347	2987	5596
348	2995	5588
349	3004	5579
350	3012	5570
351	3021	5562
352	3029	5552
353	3037	5543
354	3045	5534
355	3054	5525
356	3062	5515
357	3069	5505
358	3077	5495
359	3086	5486
360	3094	5477
361	3102	5468
362	3110	5458
363	3118	5448
364	3127	5440
365	3134	5429
366	3142	5420
367	3151	5411
368	3159	5402
369	3167	5393
370	3176	5384
371	3184	5375
372	3192	5366
373	3201	5357
374	3209	5349
375	3218	5340
376	3227	5332
377	3235	5323
378	3242	5313
379	3251	5304
380	3259	5295
381	3267	5286
382	3276	5278
383	3284	5268
384	3293	5260
385	3301	5251
386	3309	5242
387	3318	5233
388	3326	5224
389	3334	5215
390	3342	5206
391	3351	5197
392	3359	5188
393	3367	5179
394	3375	5170
395	3383	5161
396	3392	5152
397	3400	5144
398	3409	5135
399	3417	5126
400	3425	5116
401	3433	5107
402	3441	5098
403	3449	5088
404	3458	5080
405	3466	5071
406	3474	5062
407	3483	5054
408	3491	5045
409	3500	5037
410	3508	5027
411	3516	5018
412	3524	5009
413	3532	4999
414	3539	4990
415	3548	4981
416	3556	4972
417	3564	4963
418	3572	4954
419	3580	4944
420	3588	4935
421	3597	4927
422	3606	4918
423	3614	4910
424	3622	4901
425	3630	4892
426	3638	4883
427	3647	4874
428	3655	4865
429	3663	4856
430	3671	4847
431	3679	4838
432	3688	4829
433	3696	4820
434	3704	4811
435	3712	4802
436	3721	4793
437	3729	4785
438	3737	4776
439	3745	4767
440	3753	4758
441	3761	4749
442	3769	4740
443	3778	4732
444	3790	4727
445	3798	4718
446	3806	4709
447	3815	4700
448	3823	4692
449	3831	4683
450	3839	4674
451	3847	4665
452	3855	4655
453	3864	4647
454	3872	4638
455	3881	4630
456	3889	4621
457	3897	4612
458	3906	4603
459	3914	4595
460	3923	4587
461	3931	4577
462	3939	4569
463	3948	4560
464	3955	4551
465	3963	4542
466	3972	4534
467	3980	4525
468	3989	4516
469	3997	4507
470	4005	4499
471	4013	4489
472	4021	4481
473	4029	4472
474	4038	4463
475	4046	4454
476	4054	4445
477	4062	4436
478	4070	4427
479	4079	4419
480	4087	4410
481	4095	4401
482	4103	4392
483	4112	4383
484	4120	4375
485	4128	4366
486	4137	4358
487	4145	4349
488	4153	4340
489	4160	4330
490	4168	4321
491	4176	4312
492	4185	4304
493	4193	4295
494	4201	4286
495	4209	4277
496	4218	4268
497	4226	4260
498	4234	4251
499	4243	4243
500	4251	4234
501	4259	4225
502	4267	4217
503	4276	4208
504	4284	4199
505	4292	4190
506	4300	4181
507	4308	4173
508	4316	4163
509	4324	4154
510	4332	4146
511	4340	4136
512	4348	4128
513	4357	4120
514	4365	4110
515	4372	4101
516	4381	4093
517	4390	4085
518	4398	4076
519	4407	4068
520	4415	4059
521	4423	4051
522	4432	4042
523	4439	4033
524	4448	4024
525	4455	4015
526	4467	4009
527	4476	4001
528	4484	3993
529	4493	3984
530	4502	3976
531	4510	3967
532	4518	3958
533	4526	3950
534	4534	3941
535	4542	3932
536	4550	3923
537	4558	3914
538	4566	3905
539	4574	3896
540	4582	3887
541	4589	3878
542	4598	3870
543	4605	3860
544	4613	3851
545	4622	3843
546	4631	3835
547	4639	3826
548	4646	3817
549	4654	3808
550	4662	3799
551	4671	3790
552	4679	3782
553	4687	3773
554	4695	3765
555	4703	3756
556	4712	3747
557	4720	3739
558	4729	3731
559	4737	3722
560	4745	3713
561	4753	3704
562	4761	3696
563	4769	3687
564	4777	3678
565	4785	3669
566	4798	3664
567	4805	3655
568	4814	3646
569	4823	3638
570	4831	3630
571	4839	3621
572	4847	3612
573	4856	3604
574	4864	3595
575	4872	3586
576	4880	3578
577	4889	3569
578	4897	3561
579	4905	3552
580	4913	3543
581	4922	3535
582	4930	3526
583	4937	3517
584	4945	3508
585	4953	3499
586	4962	3491
587	4970	3483
588	4979	3474
589	4987	3465
590	4995	3456
591	5002	3447
592	5015	3442
593	5023	3433
594	5032	3425
595	5040	3416
596	5048	3407
597	5056	3398
598	5064	3390
599	5072	3381
600	5080	3372
601	5088	3363
602	5096	3355
603	5104	3346
604	5112	3338
605	5121	3329
606	5128	3320
607	5136	3311
608	5144	3303
609	5152	3294
610	5161	3285
611	5169	3277
612	5177	3268
613	5186	3260
614	5194	3251
615	5202	3243
616	5210	3234
617	5218	3225
618	5227	3217
619	5235	3208
620	5243	3200
621	5251	3191
622	5259	3182
623	5267	3174
624	5275	3165
625	5283	3156
626	5292	3148
627	5300	3139
628	5308	3131
629	5317	3122
630	5325	3114
631	5333	3105
632	5341	3097
633	5350	3088
634	5357	3079
635	5365	3071
636	5373	3062
637	5382	3053
638	5390	3045
639	5399	3037
640	5407	3028
641	5415	3020
642	5424	3011
643	5431	3002
644	5440	2994
645	5448	2985
646	5456	2977
647	5465	2968
648	5473	2960
649	5482	2952
650	5491	2943
651	5500	2935
652	5508	2927
653	5516	2918
654	5524	2909
655	5532	2901
656	5540	2892
657	5548	2883
658	5557	2875
659	5564	2866
660	5571	2857
661	5580	2849
662	5588	2840
663	5597	2832
664	5604	2823
665	5612	2814
666	5620	2806
667	5631	2798
668	5640	2790
669	5648	2782
670	5655	2773
671	5664	2764
672	5674	2757
673	5682	2748
674	5690	2739
675	5699	2731
676	5707	2722
677	5715	2714
678	5723	2705
679	5732	2697
680	5739	2688
681	5748	2680
682	5755	2671
683	5764	2663
684	5772	2654
685	5780	2645
686	5792	2639
687	5801	2630
688	5809	2622
689	5816	2613
690	5825	2604
691	5832	2596
692	5840	2587
693	5848	2578
694	5856	2570
695	5865	2561
696	5873	2553
697	5881	2544
698	5890	2536
699	5898	2527
700	5906	2519
701	5913	2510
702	5922	2502
703	5930	2493
704	5938	2485
705	5946	2476
706	5955	2468
707	5963	2459
708	5971	2451
709	5980	2442
710	5989	2434
711	5998	2426
712	6006	2417
713	6015	2409
714	6023	2401
715	6032	2392
716	6040	2384
717	6048	2375
718	6055	2366
719	6064	2358
720	6072	2349
721	6080	2341
722	6088	2332
723	6096	2324
724	6104	2315
725	6112	2307
726	6120	2298
727	6129	2289
728	6137	2281
729	6146	2273
730	6155	2265
731	6163	2256
732	6171	2248
733	6179	2239
734	6187	2230
735	6195	2222
736	6204	2214
737	6212	2205
738	6220	2196
739	6228	2188
740	6236	2179
741	6244	2171
742	6253	2162
743	6261	2154
744	6269	2145
745	6277	2137
746	6284	2128
747	6292	2120
748	6301	2111
749	6308	2102
750	6317	2094
751	6325	2086
752	6333	2077
753	6341	2069
754	6349	2060
755	6357	2052
756	6365	2043
757	6374	2034
758	6382	2026
759	6391	2018
760	6398	2009
761	6407	2001
762	6415	1992
763	6424	1984
764	6432	1976
765	6441	1967
766	6448	1959
767	6457	1950
768	6464	1941
769	6472	1933
770	6480	1924
771	6490	1916
772	6498	1908
773	6506	1899
774	6514	1891
775	6523	1882
776	6530	1874
777	6539	1865
778	6547	1857
779	6555	1849
780	6563	1840
781	6572	1832
782	6580	1823
783	6588	1815
784	6596	1806
785	6604	1798
786	6612	1789
787	6620	1781
788	6629	1772
789	6637	1764
790	6646	1756
791	6655	1747
792	6663	1739
793	6672	1731
794	6679	1722
795	6688	1714
796	6696	1705
797	6705	1697
798	6713	1688
799	6721	1680
800	6729	1671
801	6737	1663
802	6745	1654
803	6754	1646
804	6763	1638
805	6771	1629
806	6778	1621
807	6786	1612
808	6801	1605
809	6809	1597
810	6817	1588
811	6825	1580
812	6833	1571
813	6841	1563
814	6849	1554
815	6857	1546
816	6865	1537
817	6874	1529
818	6881	1520
819	6890	1512
820	6898	1503
821	6906	1495
822	6915	1487
823	6923	1478
824	6931	1470
825	6939	1461
826	6948	1453
827	6955	1444
828	6963	1436
829	6971	1427
830	6979	1419
831	6987	1411
832	6995	1402
833	7004	1394
834	7013	1385
835	7020	1377
836	7028	1368
837	7037	1360
838	7045	1352
839	7053	1343
840	7061	1335
841	7069	1326
842	7077	1318
843	7085	1309
844	7093	1301
845	7102	1292
846	7109	1284
847	7117	1275
848	7126	1267
849	7134	1259
850	7142	1250
851	7151	1242
852	7158	1233
853	7166	1225
854	7175	1216
855	7183	1208
856	7191	1200
857	7200	1191
858	7208	1183
859	7216	1174
860	7224	1166
861	7233	1157
862	7241	1149
863	7250	1141
864	7258	1132
865	7267	1124
866	7276	1116
867	7284	1107
868	7292	1099
869	7301	1091
870	7309	1082
871	7318	1074
872	7326	1065
873	7334	1057
874	7342	1048
875	7351	1040
876	7358	1032
877	7367	1023
878	7374	1015
879	7383	1006
880	7390	998
881	7398	989
882	7406	981
883	7414	972
884	7422	964
885	7430	956
886	7437	947
887	7445	939
888	7453	930
889	7460	922
890	7469	913
891	7477	905
892	7485	896
893	7493	888
894	7501	880
895	7509	871
896	7517	863
897	7525	854
898	7533	846
899	7542	838
900	7550	829
901	7558	821
902	7566	812
903	7574	804
904	7581	795
905	7590	787
906	7598	779
907	7606	770
908	7614	762
909	7622	753
910	7631	745
911	7639	737
912	7647	728
913	7655	720
914	7663	711
915	7671	703
916	7680	695
917	7687	686
918	7695	678
919	7703	669
920	7711	661
921	7719	653
922	7727	644
923	7735	636
924	7743	627
925	7753	619
926	7762	611
927	7770	602
928	7778	594
929	7787	586
930	7802	578
931	7811	569
932	7818	561
933	7826	553
934	7834	544
935	7841	536
936	7849	527
937	7857	519
938	7865	510
939	7873	502
940	7882	494
941	7889	485
942	7898	477
943	7906	469
944	7914	460
945	7922	452
946	7930	443
947	7938	435
948	7946	427
949	7954	418
950	7962	410
951	7970	401
952	7978	393
953	7986	385
954	7994	376
955	8003	368
956	8010	359
957	8019	351
958	8027	343
959	8035	334
960	8043	326
961	8052	318
962	8060	309
963	8068	301
964	8076	292
965	8084	284
966	8092	276
967	8100	267
968	8108	259
969	8117	251
970	8125	242
971	8133	234
972	8140	225
973	8149	217
974	8157	209
975	8165	200
976	8173	192
977	8181	184
978	8189	175
979	8197	167
980	8206	158
981	8213	150
982	8222	142
983	8230	133
984	8239	125
985	8248	117
986	8256	108
987	8264	100
988	8273	92
989	8281	83
990	8290	75
991	8298	66
992	8306	58
993	8314	50
994	8323	41
995	8331	33
996	8339	25
997	8347	16
998	8356	8
999	8364	0
